id,Entity Name,Entity Volume,Material
1,Group,2.8125 cubic m,
2,Group,0.06022 cubic m,
3,Group,0.060003 cubic m,
4,Group,0 cubic m,
5,Group,0.419996 cubic m,Concrete_Reflective_A01_2m#1
6,OuterShell,0.172995 cubic m,
7,Group,0 cubic m,
8,Component#2,0.007071 cubic m,
9,Component#2,0.007071 cubic m,
10,Group,0.375 cubic m,
11,Group,0.410536 cubic m,Concrete_Reflective_A01_2m#1
12,Group,0.037926 cubic m,Aluminum
13,Group,0 cubic m,
14,Group,0 cubic m,
15,Group,0 cubic m,Aluminum
16,Group,0.0006 cubic m,
17,Group,0.01544 cubic m,
18,Group,0.0006 cubic m,
19,Group,0.0006 cubic m,
20,Group,0 cubic m,Aluminum
21,Group,0.0006 cubic m,
22,Group,0.0006 cubic m,
23,Group,0.0006 cubic m,
24,Group,0.024017 cubic m,
25,Group,0.0006 cubic m,
26,Group,0.0006 cubic m,
27,Group,0 cubic m,
28,Group,0.016954 cubic m,Aluminum
29,Group,0.0135 cubic m,Aluminum
30,Group,0.0135 cubic m,Aluminum
31,Group,0.023546 cubic m,Aluminum
32,Group,0.0135 cubic m,Aluminum
33,Group,0.0135 cubic m,Aluminum
34,Group,0.0135 cubic m,Aluminum
35,Group,0.0135 cubic m,Aluminum
36,Group,0.0135 cubic m,Aluminum
37,Group,0.0135 cubic m,Aluminum
38,Group,0.0135 cubic m,Aluminum
39,Group,0.0135 cubic m,Aluminum
40,Group,0.0135 cubic m,Aluminum
41,Group,1.11159 cubic m,
42,Group,0 cubic m,Veneer_B01_120cm
43,Group,0.9675 cubic m,
44,Group,0.599999 cubic m,
45,Group,0.779996 cubic m,
46,Group,0.7425 cubic m,
47,Group,1.06875 cubic m,
48,Group,1.499971 cubic m,
49,Group,1.687478 cubic m,
50,Group,0.374999 cubic m,
51,Group,0.350921 cubic m,Concrete_Reflective_A01_2m#1
52,Group,1.0125 cubic m,
53,Group,0.64125 cubic m,
54,Group,1.268699 cubic m,Concrete_Reflective_A01_2m
55,Group,0.341227 cubic m,
56,Group,1.075661 cubic m,
57,Group,0.01932 cubic m,Laminate_C01_120cm
58,Group,0.22873 cubic m,
59,Group,0.050053 cubic m,Concrete_Reflective_A01_2m
60,Group,0.0096 cubic m,Mirror 01
61,Group,0 cubic m,
62,Group,1.463811 cubic m,
63,Group,1.173746 cubic m,
64,Group,0.047916 cubic m,Concrete_Reflective_A01_2m
65,Group,1.516723 cubic m,
66,Group,5.624992 cubic m,
67,Group,1.739072 cubic m,
68,Group,0.79875 cubic m,
69,Group,0.32286 cubic m,Concrete_Reflective_A01_2m
70,Group,0.047422 cubic m,Aluminum
71,Group,0.032925 cubic m,Concrete_Reflective_A01_2m#1
72,Group,4.960688 cubic m,
73,Group,1.687477 cubic m,
74,Group,0.824998 cubic m,
75,Group,0.215721 cubic m,
76,Group,0.23007 cubic m,
77,Group,1.11138 cubic m,Concrete_Reflective_A01_2m#1
78,Group,0.397479 cubic m,
79,Group,0.672587 cubic m,
80,Component#2,0.007071 cubic m,
81,Group,0.798751 cubic m,
82,Group,0.341228 cubic m,
83,Group,0.053802 cubic m,Concrete_Reflective_A01_2m#1
84,Group,0.742477 cubic m,
85,Group,2.298699 cubic m,
86,Group,0 cubic m,Concrete_Reflective_A01_2m
87,Group,0.562486 cubic m,
88,Group,0 cubic m,
89,Group,0.027 cubic m,Concrete_Reflective_A01_2m#1
90,Group,0.027 cubic m,Concrete_Reflective_A01_2m#1
91,Group,0.027 cubic m,Concrete_Reflective_A01_2m#1
92,Group,0.027 cubic m,Concrete_Reflective_A01_2m#1
93,Group,0.0405 cubic m,Concrete_Reflective_A01_2m#1
94,Group,0.027 cubic m,Concrete_Reflective_A01_2m#1
95,Group,0.027 cubic m,Concrete_Reflective_A01_2m#1
96,Group,0.027 cubic m,Concrete_Reflective_A01_2m#1
97,Group,0.027 cubic m,Concrete_Reflective_A01_2m#1
98,Group,0.027 cubic m,Concrete_Reflective_A01_2m#1
99,Group,0.0405 cubic m,Concrete_Reflective_A01_2m#1
100,Group,0 cubic m,Water Dark Blue
101,Group,0 cubic m,
102,Group,0 cubic m,
103,Group,0.078757 cubic m,Plywood_A_50cm1
104,Group,0 cubic m,
105,Group,0.945128 cubic m,
106,Group,0.672587 cubic m,
107,Group,1.2887 cubic m,
108,Group,0.760662 cubic m,
109,Group,0.342316 cubic m,Veneer_B01_120cm
110,Group,0.795001 cubic m,
111,Group,1.177848 cubic m,
112,Group,0 cubic m,Concrete_Reflective_A01_2m#1
113,Group,0.026129 cubic m,Veneer_B01_120cm
114,Group,0 cubic m,
115,Group,0.986251 cubic m,
116,Group,1.283929 cubic m,
117,Group,1.813109 cubic m,Concrete_Reflective_A01_2m#1
118,Group,2.018333 cubic m,
119,Group,0.176371 cubic m,Concrete_Reflective_A01_2m
120,Group,0.027 cubic m,Veneer_C01_120cm#2
121,Group,0.27268 cubic m,Concrete_Reflective_A01_2m
122,Group,1.124411 cubic m,
123,Group,1.143752 cubic m,
124,Group,0.918741 cubic m,
125,Group,0.732562 cubic m,
126,Group,1.423121 cubic m,
127,Group,1.124411 cubic m,
128,Group,0.854411 cubic m,
129,Group,0 cubic m,
130,Group,1.344341 cubic m,
131,Group,0.99375 cubic m,
132,Component#3,0.01225 cubic m,
133,Component#2,0.007071 cubic m,
134,Group,0 cubic m,
135,Group,0.779996 cubic m,
136,Component#2,0.007071 cubic m,
137,Component#3,0.01225 cubic m,
138,Group,1.106245 cubic m,
139,Component#2,0.007071 cubic m,
140,Component#3,0.01225 cubic m,
141,Component#3,0.01225 cubic m,
142,Group,1.2604 cubic m,
143,Group,0.854411 cubic m,
144,Group,0.743823 cubic m,
145,Component#2,0.007071 cubic m,
146,Group,1.066336 cubic m,
147,Group,0.490337 cubic m,Concrete_Reflective_A01_2m
148,Group,1.037987 cubic m,
149,Component#3,0.01225 cubic m,
150,Component#2,0.007071 cubic m,
151,Component#3,0.01225 cubic m,
152,Group,0.675 cubic m,
153,Group,0.919807 cubic m,
154,Group,0.375002 cubic m,
155,Component#2,0.007071 cubic m,
156,Component#2,0.007071 cubic m,
157,Group,1.367899 cubic m,
158,Component#2,0.007071 cubic m,
159,Group,0.236256 cubic m,
160,Group,0.506251 cubic m,
161,Component#2,0.007071 cubic m,
162,Component#3,0.01225 cubic m,
163,Component#3,0.01225 cubic m,
164,Component#2,0.007071 cubic m,
165,Group,2.000621 cubic m,
166,Component#2,0.007071 cubic m,
167,Group,1.311911 cubic m,
168,Component#2,0.007071 cubic m,
169,Group,1.236911 cubic m,
170,Component#2,0.007071 cubic m,
171,Group,0.854411 cubic m,
172,Component#3,0.01225 cubic m,
173,Component#3,0.01225 cubic m,
174,Group,0.582031 cubic m,
175,Group,1.424411 cubic m,
176,Component#2,0.007071 cubic m,
177,Group,1.051309 cubic m,
178,Group,0.206243 cubic m,
179,Group,1.446639 cubic m,
180,Group,0.206218 cubic m,
181,Group,1.256252 cubic m,
182,Group,0.266251 cubic m,
183,Group,0.412451 cubic m,
184,Group,0 cubic m,
185,Group,0 cubic m,
186,Group,0.001118 cubic m,
187,Group,0 cubic m,
188,Group,0 cubic m,Material15
189,Group,0.001129 cubic m,
190,Group,0.000065 cubic m,Material1
191,Group,0.000065 cubic m,Material1
192,Group,0.001879 cubic m,Material15
193,Group,0 cubic m,Material15
194,Group,0.001129 cubic m,
195,Group,0.000065 cubic m,Material1
196,Group,0.000065 cubic m,Material1
197,Group,0 cubic m,
198,Group,0.000096 cubic m,Material1
199,Group,0.000233 cubic m,Material1
200,Group,0.000233 cubic m,Material1
201,Group,0.000096 cubic m,Material1
202,Group,0.000233 cubic m,Material1
203,Group,0.000233 cubic m,Material1
204,Group,0.001879 cubic m,Material15
205,Group,1.124411 cubic m,
206,Group,3.09375 cubic m,
207,Group,1.180661 cubic m,
208,C1356.dxf,0 cubic m,Metal Aluminum Anodized]1
209,Component#2,0.007071 cubic m,
210,Component#2,0.007071 cubic m,
